ID,month,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,Crop,class
ID_b7J6Nq_Jan,Jan,4067.8674,3994.5237,3993.2756,4147.0796,4257.152,5011.0293,5516.1895,5199.0415,5904.878,1767.085,4898.5127,3648.901,Rubber,3
ID_ZUfp59_Jan,Jan,3119.697,2963.4856,2873.6848,2775.5137,2971.7017,4060.8901,4644.361,4438.594,5034.122,1579.0842,3862.2644,2835.8235,Palm,2
ID_yipWoC_Jan,Jan,2559.1108,2277.1003,2145.3406,1892.4064,2193.619,3258.0647,3764.3198,3599.293,4158.3516,1409.1418,2981.663,1906.5609,Rubber,3
ID_KbyKOr_Jan,Jan,2536.7947,2249.0908,2103.6067,1856.5856,2129.4001,3182.0857,3695.5625,3527.604,4070.137,1394.8013,2919.966,1859.1257,Rubber,3
ID_zQBRwA_Jan,Jan,3865.2046,3879.4087,3808.137,3926.0261,3973.5437,4566.985,4946.9634,4742.9395,5205.3135,1732.3141,4373.366,3373.634,Rubber,3
ID_qHSqbD_Jan,Jan,2531.6636,2252.4148,2105.566,1894.6263,2166.544,3178.6182,3667.6243,3500.1895,4007.3125,1414.3749,2933.1465,1912.186,Rubber,3
ID_gwbXk8_Jan,Jan,2523.7935,2233.4282,2075.2268,1843.7059,2083.6025,3092.2898,3585.2815,3404.778,3912.709,1372.4509,2824.911,1813.2384,Rubber,3
ID_SBD56I_Jan,Jan,2444.316,2143.418,1954.6494,1726.7981,1884.2742,2655.6963,3013.5132,2852.6045,3226.388,1297.7855,2259.9038,1556.4591,Rubber,3
ID_X9dg4u_Jan,Jan,2532.5437,2221.0288,2044.403,1791.2422,1976.6151,2804.4448,3181.6917,2996.8296,3405.1946,1310.584,2319.7527,1610.607,Rubber,3
ID_JYvjgw_Jan,Jan,2485.3691,2200.792,2056.99,1805.8839,2053.9292,3170.8032,3723.9915,3556.7551,4079.8408,1374.1672,2813.5847,1800.1338,Rubber,3
ID_t4Tmmn_Jan,Jan,2530.2866,2249.944,2119.3372,1885.4717,2182.2764,3226.1155,3708.2402,3550.978,4069.9988,1433.3107,2978.021,1940.8265,Rubber,3
ID_WCmEEu_Jan,Jan,2605.9485,2344.9238,2202.524,2012.3234,2230.7812,3249.154,3756.966,3587.8862,4091.9905,1403.8412,3104.288,2062.329,Rubber,3
ID_KfCbOO_Jan,Jan,4412.24,4380.461,4334.2925,4563.704,4494.2993,5044.01,5500.9053,5142.392,5801.8687,1679.6248,5167.2896,4236.176,Palm,2
ID_DdAycp_Jan,Jan,3204.362,2975.0789,2858.986,2812.176,2900.0535,3602.7424,4013.965,3744.1245,4267.121,1481.3564,3391.897,2664.8323,Palm,2
ID_njDllu_Jan,Jan,3187.8486,2974.014,2857.3784,2796.8982,2910.0503,3698.0608,4145.9507,3904.4487,4433.5923,1503.5936,3506.8582,2729.374,Rubber,3
ID_XKiksa_Jan,Jan,2682.8823,2397.5918,2242.9766,2029.4625,2213.2996,3100.594,3519.4102,3330.7097,3770.8628,1361.729,2671.8386,1892.7155,Rubber,3
ID_xUSwCk_Jan,Jan,3471.8765,3389.9827,3299.4644,3335.2004,3416.0881,4074.8232,4469.372,4258.242,4743.0083,1596.8757,4114.794,3143.6572,Rubber,3
ID_h14T0B_Jan,Jan,2573.0923,2267.8613,2097.7573,1835.7655,2043.4825,3151.499,3691.4587,3512.7056,4005.8394,1399.4937,2664.9092,1741.4237,Rubber,3
ID_KmpsdP_Jan,Jan,2467.4495,2164.8206,1968.2157,1734.1111,1882.7689,2634.236,2989.4775,2820.079,3191.7766,1284.5375,2192.03,1528.3121,Rubber,3
ID_Fb9ZE5_Jan,Jan,2658.3325,2375.5317,2229.9646,2011.2809,2227.8552,3269.5913,3780.1606,3598.0427,4105.107,1421.6655,2985.6067,1978.7545,Palm,2
ID_7vucQ9_Jan,Jan,2562.069,2260.2488,2100.2288,1848.2126,2065.7373,3085.2256,3564.7605,3380.2288,3854.2292,1359.7024,2624.2898,1756.7662,Palm,2
ID_d4AUvT_Jan,Jan,2600.837,2306.9714,2152.956,1949.5802,2156.6167,3010.531,3431.7773,3238.7805,3707.075,1359.9066,2746.0154,1877.333,Rubber,3
ID_zNx6qQ_Jan,Jan,2474.249,2178.7156,2017.11,1758.7551,1991.0884,3102.2307,3639.9497,3476.376,3977.7048,1369.7843,2658.695,1704.2468,Rubber,3
ID_eAzoCs_Jan,Jan,2531.3875,2240.0542,2081.9543,1850.3402,2092.2039,3103.0054,3601.3164,3420.5647,3933.136,1377.2452,2839.2761,1814.015,Rubber,3
ID_oAS61h_Jan,Jan,3284.38,3049.3257,2916.4856,2877.877,2967.722,3539.0315,3870.188,3598.62,4084.1406,1526.0223,3302.8684,2634.5244,Rubber,3
ID_cRnoWK_Jan,Jan,2651.459,2363.2068,2206.0784,1962.1635,2177.414,3303.3403,3856.1272,3674.062,4193.5225,1429.5468,2868.6667,1898.9612,Palm,2
ID_fJ3a9J_Jan,Jan,4244.106,4255.5684,4286.653,4581.029,4621.6304,5286.06,5780.0977,5431.3276,6148.5723,1826.3964,5562.2285,4486.702,Rubber,3
ID_k2fuUk_Jan,Jan,4092.774,3890.4126,3849.4236,4016.2517,4078.7878,4632.136,5025.7803,4598.1367,5301.78,1802.4672,4294.3354,3371.5525,Rubber,3
ID_QBGORT_Jan,Jan,2594.3313,2329.6624,2197.1096,2014.6582,2245.733,3307.3413,3818.8535,3637.5725,4149.5034,1404.9719,3132.3901,2068.3564,Rubber,3
ID_dnPsmj_Jan,Jan,2943.6172,2719.2979,2595.9219,2467.204,2625.2014,3582.711,4085.6829,3874.3413,4390.015,1463.2341,3318.8135,2448.4675,Rubber,3
ID_Os9CYK_Jan,Jan,3989.4336,4007.4878,3999.7854,4158.874,4288.3477,5090.7896,5604.3486,5359.6753,5998.813,1861.9469,5266.927,4028.4045,Rubber,3
ID_Vl5pXH_Jan,Jan,2573.1604,2269.6494,2106.2654,1841.6451,2050.499,3151.0747,3687.7793,3506.948,4000.6086,1384.6332,2608.3706,1710.7308,Palm,2
ID_u3MhaM_Jan,Jan,2828.859,2585.9377,2451.337,2287.034,2465.1812,3361.3203,3804.6985,3605.84,4082.8135,1412.4937,3053.4634,2221.9326,Rubber,3
ID_r79TJv_Jan,Jan,2878.2053,2648.3948,2522.1667,2378.6858,2554.812,3548.1753,4069.3271,3872.3953,4400.223,1476.2826,3399.87,2405.448,Palm,2
ID_rGGiwg_Jan,Jan,3603.6008,3484.505,3402.1082,3445.203,3539.242,4238.4854,4673.3,4406.5493,4975.908,1665.704,4169.0444,3255.539,Rubber,3
ID_JYpt3c_Jan,Jan,3412.9192,3270.8623,3188.6172,3199.1492,3331.2788,4041.74,4435.9214,4196.801,4718.967,1649.9481,3946.4067,3095.1487,Rubber,3
ID_Vyy7Dx_Jan,Jan,2651.8074,2353.6152,2191.9072,1933.2087,2159.2761,3315.1226,3878.263,3691.026,4227.6646,1417.8732,2874.3538,1876.5364,Palm,2
ID_tU8CXe_Jan,Jan,2669.8513,2407.7366,2272.3325,2055.8896,2313.7317,3408.3384,3955.052,3771.25,4342.3735,1438.7509,3139.7432,2074.0393,Rubber,3
ID_OBSqEx_Jan,Jan,2510.1838,2223.1003,2052.2622,1830.389,2008.6913,2883.6958,3300.3403,3143.7085,3545.0593,1326.7812,2544.4856,1719.734,Rubber,3
ID_GfnIdk_Jan,Jan,2767.2515,2527.2087,2406.6174,2218.4788,2473.6313,3539.566,4075.1504,3880.2214,4456.036,1462.9689,3358.9146,2227.8376,Rubber,3
ID_Xh1pvu_Jan,Jan,2595.2087,2329.703,2188.5945,2004.1372,2219.1665,3255.9062,3757.0557,3574.4756,4073.3313,1394.5125,3028.9905,2016.1115,Rubber,3
ID_CmYl2G_Jan,Jan,2742.4114,2458.4802,2315.584,2105.2722,2302.4983,3359.491,3890.8608,3684.0295,4210.937,1430.3749,2935.594,2036.6136,Palm,2
